epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2677,1.98153,1.84203,1.42916,0.69449,0.4988,0.50855,0.23887,1.90226,1.68863,1.40943,0.000540037,0.000540037,0.000540037
43,2733.8,1.99119,1.82253,1.41202,0.68957,0.4943,0.49962,0.25095,1.86508,1.68982,1.41148,0.000531038,0.000531038,0.000531038
44,2794.52,1.98869,1.91981,1.45299,0.65911,0.50691,0.51286,0.25041,1.88438,1.67893,1.42576,0.000522039,0.000522039,0.000522039
45,2853.65,1.8794,1.8829,1.41003,0.67325,0.51454,0.51903,0.25646,1.85335,1.65329,1.39671,0.00051304,0.00051304,0.00051304
46,2907.81,1.938,1.81414,1.38043,0.6989,0.52164,0.53605,0.26194,1.84759,1.65008,1.37006,0.00050404,0.00050404,0.00050404
47,2961.79,1.89504,1.80682,1.39559,0.67385,0.52644,0.53752,0.26348,1.82614,1.62949,1.39158,0.000495041,0.000495041,0.000495041
48,3043.2,1.95055,1.8427,1.4431,0.69627,0.52053,0.56258,0.28176,1.7939,1.60202,1.37022,0.000486042,0.000486042,0.000486042
49,3141.48,1.93281,1.72543,1.41074,0.72196,0.50442,0.55886,0.28259,1.80513,1.61845,1.35305,0.000477043,0.000477043,0.000477043
50,3236.69,1.86936,1.77537,1.38234,0.68135,0.49598,0.5424,0.2705,1.85034,1.66052,1.35786,0.000468044,0.000468044,0.000468044
51,3323.8,1.88951,1.84375,1.4002,0.7116,0.51185,0.5765,0.28859,1.79007,1.59742,1.34824,0.000459045,0.000459045,0.000459045
52,3378.89,1.90786,1.77327,1.40458,0.72371,0.52344,0.57103,0.28239,1.75899,1.57133,1.35454,0.000450046,0.000450046,0.000450046
53,3429.14,1.87809,1.81302,1.41596,0.73737,0.52167,0.58333,0.28818,1.75232,1.56384,1.33686,0.000441047,0.000441047,0.000441047
54,3483.14,1.88473,1.82644,1.40654,0.72022,0.53003,0.5881,0.293,1.75281,1.55455,1.32482,0.000432048,0.000432048,0.000432048
55,3536.94,1.87239,1.77421,1.4022,0.73772,0.52011,0.59189,0.2978,1.78266,1.56329,1.33809,0.000423049,0.000423049,0.000423049
56,3590.65,1.89479,1.72171,1.38918,0.7397,0.52086,0.70369,0.35404,1.78765,1.56468,1.33306,0.000414049,0.000414049,0.000414049
57,3644,1.85007,1.65082,1.3342,0.75714,0.52671,0.64482,0.33586,1.76979,1.54165,1.32747,0.00040505,0.00040505,0.00040505
58,3699.24,1.87938,1.65124,1.37783,0.72347,0.54928,0.60409,0.32285,1.74392,1.51771,1.32762,0.000396051,0.000396051,0.000396051
59,3754.1,1.88058,1.80933,1.37579,0.69694,0.51194,0.55583,0.2832,1.78558,1.53468,1.3745,0.000387052,0.000387052,0.000387052
60,5075.96,1.86149,1.66834,1.39487,0.71708,0.53227,0.57539,0.29748,1.73533,1.51883,1.34967,0.000378053,0.000378053,0.000378053
61,5129.28,1.851,1.72605,1.37455,0.72793,0.53168,0.58935,0.30636,1.7172,1.48812,1.32605,0.000369054,0.000369054,0.000369054
62,5181.02,1.80508,1.64318,1.35441,0.72526,0.55472,0.60371,0.30877,1.73272,1.49865,1.32543,0.000360055,0.000360055,0.000360055
63,5232.18,1.81915,1.65575,1.33293,0.72885,0.55704,0.60278,0.31474,1.71334,1.4861,1.32391,0.000351056,0.000351056,0.000351056
64,5283.71,1.77448,1.69881,1.35882,0.74318,0.56044,0.62174,0.32697,1.69147,1.46455,1.30664,0.000342057,0.000342057,0.000342057
65,5334.75,1.78556,1.58161,1.35112,0.73737,0.57258,0.62809,0.33402,1.67719,1.43643,1.29716,0.000333058,0.000333058,0.000333058
66,5381.96,1.75909,1.59819,1.32865,0.74113,0.57732,0.63029,0.33672,1.67788,1.42367,1.29603,0.000324058,0.000324058,0.000324058
67,5432.46,1.79535,1.62009,1.36071,0.74167,0.57797,0.6173,0.33613,1.67615,1.41355,1.29344,0.000315059,0.000315059,0.000315059
68,5482.27,1.78139,1.58035,1.35057,0.74315,0.57402,0.6767,0.34549,1.69987,1.42874,1.29357,0.00030606,0.00030606,0.00030606
69,5530.5,1.79455,1.56656,1.35904,0.77913,0.55104,0.74818,0.35463,1.69549,1.42676,1.29454,0.000297061,0.000297061,0.000297061
70,5580.25,1.84516,1.63727,1.38563,0.77624,0.57151,0.64292,0.34531,1.65574,1.41302,1.28981,0.000288062,0.000288062,0.000288062
71,5629.07,1.81088,1.54746,1.31931,0.77268,0.58905,0.64554,0.35304,1.63964,1.39123,1.27965,0.000279063,0.000279063,0.000279063
72,5678.4,1.79449,1.58776,1.34349,0.78313,0.59136,0.64556,0.35264,1.62986,1.36439,1.271,0.000270064,0.000270064,0.000270064
73,5727.96,1.80028,1.6516,1.35883,0.78161,0.59397,0.6427,0.35368,1.64149,1.35123,1.28108,0.000261065,0.000261065,0.000261065
74,5779.14,1.76,1.49211,1.30522,0.78621,0.60014,0.64419,0.35197,1.65187,1.35298,1.28581,0.000252066,0.000252066,0.000252066
75,5830.47,1.81347,1.61397,1.32535,0.79164,0.60118,0.65464,0.35581,1.64668,1.34317,1.27239,0.000243067,0.000243067,0.000243067
76,5880.24,1.76819,1.55298,1.31329,0.81204,0.58466,0.65449,0.35714,1.62792,1.33662,1.26453,0.000234068,0.000234068,0.000234068
77,5929.56,1.7747,1.56393,1.36854,0.80886,0.58657,0.65875,0.36091,1.62139,1.33991,1.26556,0.000225068,0.000225068,0.000225068
78,5980.41,1.74054,1.50454,1.29921,0.82577,0.57653,0.66566,0.36912,1.60596,1.32044,1.26134,0.000216069,0.000216069,0.000216069
79,6031.74,1.71139,1.47238,1.30126,0.79566,0.60652,0.68068,0.38243,1.58697,1.28938,1.2512,0.00020707,0.00020707,0.00020707
80,6082.85,1.71443,1.477,1.29176,0.78971,0.61635,0.69084,0.38734,1.58936,1.27877,1.24958,0.000198071,0.000198071,0.000198071
81,6133.92,1.74023,1.49886,1.31015,0.81742,0.60507,0.68693,0.38226,1.58628,1.26477,1.24619,0.000189072,0.000189072,0.000189072
82,6185.23,1.70954,1.46571,1.29509,0.81466,0.60928,0.70078,0.38869,1.57619,1.26229,1.24297,0.000180073,0.000180073,0.000180073
83,6235.98,1.71714,1.46078,1.28773,0.80707,0.60961,0.73998,0.41094,1.56044,1.26368,1.24069,0.000171074,0.000171074,0.000171074
84,6287.24,1.72074,1.45761,1.28398,0.82361,0.60716,0.74305,0.41313,1.55131,1.26231,1.24335,0.000162075,0.000162075,0.000162075
85,6336.77,1.67104,1.41135,1.27595,0.80052,0.62826,0.71575,0.40398,1.54956,1.26107,1.24343,0.000153076,0.000153076,0.000153076
86,6386.02,1.7356,1.49573,1.33318,0.8041,0.62879,0.70801,0.40172,1.55263,1.25303,1.24151,0.000144077,0.000144077,0.000144077
87,6435.69,1.72193,1.45569,1.2952,0.81463,0.62757,0.71368,0.40314,1.56051,1.23627,1.23913,0.000135077,0.000135077,0.000135077
88,6486.68,1.65788,1.43687,1.27247,0.81866,0.63179,0.7289,0.41379,1.55552,1.22693,1.23707,0.000126078,0.000126078,0.000126078
89,6537.81,1.68311,1.41969,1.27408,0.82144,0.63919,0.75407,0.43235,1.5362,1.2142,1.23081,0.000117079,0.000117079,0.000117079
90,6588.64,1.76302,1.44863,1.30341,0.81893,0.63968,0.82451,0.46916,1.52824,1.20994,1.22617,0.00010808,0.00010808,0.00010808
91,6637.69,1.69332,1.53106,1.33967,0.82276,0.63206,0.82621,0.48091,1.53149,1.21864,1.21717,9.9081e-05,9.9081e-05,9.9081e-05
92,6687.09,1.66579,1.4002,1.28878,0.84286,0.62296,0.72384,0.41705,1.53778,1.22857,1.21841,9.00819e-05,9.00819e-05,9.00819e-05
93,6737.23,1.71973,1.54492,1.34164,0.82356,0.63066,0.72364,0.42005,1.53592,1.22893,1.21775,8.10828e-05,8.10828e-05,8.10828e-05
94,6786.29,1.6592,1.41342,1.29774,0.82481,0.63538,0.7227,0.42102,1.53633,1.23334,1.21958,7.20837e-05,7.20837e-05,7.20837e-05
95,6835.81,1.64541,1.42235,1.29996,0.82208,0.63864,0.73757,0.43218,1.53035,1.22444,1.21482,6.30846e-05,6.30846e-05,6.30846e-05
96,6885.94,1.67989,1.45619,1.33978,0.81389,0.64845,0.73532,0.43288,1.52957,1.22232,1.21355,5.40855e-05,5.40855e-05,5.40855e-05
97,6934.48,1.68508,1.49977,1.35323,0.82847,0.64276,0.73699,0.43696,1.53124,1.21782,1.21016,4.50864e-05,4.50864e-05,4.50864e-05
98,6984.01,1.64852,1.48228,1.3338,0.83904,0.63179,0.72438,0.42708,1.52919,1.21448,1.21031,3.60873e-05,3.60873e-05,3.60873e-05
99,7038.47,1.63156,1.43263,1.30999,0.83704,0.6389,0.72588,0.42821,1.52526,1.21337,1.20823,2.70882e-05,2.70882e-05,2.70882e-05
100,7092.6,1.64948,1.47951,1.31582,0.84225,0.63241,0.73793,0.44215,1.51836,1.21075,1.20571,1.80891e-05,1.80891e-05,1.80891e-05
